,flight_number,mission_name,mission_id,launch_year,launch_date_utc,rocket_id,rocket_name,rocket_type,payload_id,norad_id,customers,nationality,manufacturer,payload_type,payload_mass_lbs,orbit,fairings_reused,fairings_recovered,launch_site_id,launch_site_name,launch_success
11,9,CRS-1,['EE86F74'],2012,2012-10-08T00:35:00.000Z,falcon9,Falcon 9,v1.0,Orbcomm-OG2,[],['Orbcomm'],,,Dragon 1.0,881.0,LEO,,,ccafs_slc_40,CCAFS SLC 40,True
12,10,CRS-2,['EE86F74'],2013,2013-03-01T19:10:00.000Z,falcon9,Falcon 9,v1.0,CRS-2,[39115],['NASA (CRS)'],United States,SpaceX,Dragon 1.0,1492.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
13,11,CASSIOPE,[],2013,2013-09-29T16:00:00.000Z,falcon9,Falcon 9,v1.1,CASSIOPE,[39265],['MDA'],Canada,MDA,Satellite,1100.0,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
14,12,SES-8,['6C42550'],2013,2013-12-03T22:41:00.000Z,falcon9,Falcon 9,v1.1,SES-8,[39460],['SES'],Luxembourg,Orbital ATK,Satellite,6990.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
15,13,Thaicom 6,['9D1B7E0'],2014,2014-01-06T18:06:00.000Z,falcon9,Falcon 9,v1.1,Thaicom 6,[39500],['Thaicom'],Thailand,Orbital ATK,Satellite,7330.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
16,14,CRS-3,['EE86F74'],2014,2014-04-18T19:25:00.000Z,falcon9,Falcon 9,v1.1,CRS-3,[39680],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5062.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
17,15,OG-2 Mission 1,['CE91D46'],2014,2014-07-14T15:15:00.000Z,falcon9,Falcon 9,v1.1,Orbcomm-OG2-M1,[38847],['Orbcomm'],United States,Boeing,Satellite,2901.0,LEO,False,False,ccafs_slc_40,CCAFS SLC 40,True
18,16,AsiaSat 8,['593B499'],2014,2014-08-05T08:00:00.000Z,falcon9,Falcon 9,v1.1,AsiaSat 8,[40107],['AsiaSat'],Hong Kong,SSL,Satellite,9998.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
19,17,AsiaSat 6,['593B499'],2014,2014-09-07T05:00:00.000Z,falcon9,Falcon 9,v1.1,AsiaSat 6,[40141],['AsiaSat'],Hong Kong,SSL,Satellite,9762.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
20,18,CRS-4,['EE86F74'],2014,2014-09-21T05:52:00.000Z,falcon9,Falcon 9,v1.1,CRS-4,[40210],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,4885.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
21,19,CRS-5,['EE86F74'],2015,2015-01-10T09:47:00.000Z,falcon9,Falcon 9,v1.1,CRS-5,[40370],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5280.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
22,20,DSCOVR,[],2015,2015-02-11T23:03:00.000Z,falcon9,Falcon 9,v1.1,DSCOVR,[40390],"['NASA', 'NOAA', 'USAF']",United States,Sierra Nevada,Satellite,1260.0,ES-L1,False,False,ccafs_slc_40,CCAFS SLC 40,True
23,21,ABS-3A / Eutelsat 115W B,"['2CF444A', 'F7709F2']",2015,2015-03-02T03:50:00.000Z,falcon9,Falcon 9,v1.1,ABS-3A,[40424],['ABS'],Hong Kong,Boeing,Satellite,4307.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
24,21,ABS-3A / Eutelsat 115W B,"['2CF444A', 'F7709F2']",2015,2015-03-02T03:50:00.000Z,falcon9,Falcon 9,v1.1,Eutelsat 115 West B,[40425],['Eutelsat'],France,Boeing,Satellite,4861.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
25,22,CRS-6,['EE86F74'],2015,2015-04-14T20:10:00.000Z,falcon9,Falcon 9,v1.1,CRS-6,[40588],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,4184.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
26,23,TürkmenÄlem 52°E / MonacoSAT,[],2015,2015-04-27T23:03:00.000Z,falcon9,Falcon 9,v1.1,TürkmenÄlem 52°E / MonacoSAT,[40617],['Turkmenistan National Space Agency'],Turkmenistan,Thales Alenia Space,Satellite,10377.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
27,24,CRS-7,['EE86F74'],2015,2015-06-28T14:21:00.000Z,falcon9,Falcon 9,v1.1,CRS-7,[],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5460.9,ISS,,,ccafs_slc_40,CCAFS SLC 40,False
28,25,OG-2 Mission 2,['CE91D46'],2015,2015-12-22T01:29:00.000Z,falcon9,Falcon 9,FT,Orbcomm-OG2-M2,[41187],['Orbcomm'],United States,Boeing,Satellite,4484.0,LEO,False,False,ccafs_slc_40,CCAFS SLC 40,True
29,26,Jason 3,[],2016,2016-01-17T15:42:00.000Z,falcon9,Falcon 9,v1.1,Jason-3,[41240],"['NASA', 'NOAA']",United States,Thales Alenia Space,Satellite,1219.0,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
30,27,SES-9,['6C42550'],2016,2016-03-04T23:35:00.000Z,falcon9,Falcon 9,FT,SES-9,[41380],['SES'],Luxembourg,Boeing,Satellite,11621.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
31,28,CRS-8,['EE86F74'],2016,2016-04-08T20:43:00.000Z,falcon9,Falcon 9,FT,CRS-8,[41452],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,6914.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
32,29,JCSAT-2B,['FE3533D'],2016,2016-05-06T05:21:00.000Z,falcon9,Falcon 9,FT,JCSAT-2B,[41471],['SKY Perfect JSAT Group'],Japan,SSL,Satellite,10353.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
33,30,Thaicom 8,['9D1B7E0'],2016,2016-05-27T21:39:00.000Z,falcon9,Falcon 9,FT,Thaicom 8,[41552],['Thaicom'],Thailand,Orbital ATK,Satellite,6800.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
34,31,ABS-2A / Eutelsat 117W B,"['2CF444A', 'F7709F2']",2016,2016-06-15T14:29:00.000Z,falcon9,Falcon 9,FT,ABS-2A,[41588],['ABS'],Hong Kong,Boeing,Satellite,3950.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
35,31,ABS-2A / Eutelsat 117W B,"['2CF444A', 'F7709F2']",2016,2016-06-15T14:29:00.000Z,falcon9,Falcon 9,FT,Eutelsat 117 West B,[40425],['Eutelsat'],France,Boeing,Satellite,3950.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
36,32,CRS-9,['EE86F74'],2016,2016-07-18T04:45:00.000Z,falcon9,Falcon 9,FT,CRS-9,[41672],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,4976.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
37,33,JCSAT-16,['FE3533D'],2016,2016-08-14T05:26:00.000Z,falcon9,Falcon 9,FT,JCSAT-16,[41729],['SKY Perfect JCSAT Group'],Japan,SSL,Satellite,10100.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
38,34,Amos-6,[],2016,2016-09-01T13:07:00.000Z,falcon9,Falcon 9,FT,Amos-6,[],['Spacecom'],Israel,Israel Aerospace Industries,Satellite,12100.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,False
39,35,Iridium NEXT Mission 1,['F3364BF'],2017,2017-01-14T17:54:00.000Z,falcon9,Falcon 9,FT,Iridium NEXT 1,"[41917, 41918, 41919, 41920, 41921, 41922, 41923, 41924, 41925, 41926]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21200.0,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
40,36,CRS-10,['EE86F74'],2017,2017-02-19T14:39:00.000Z,falcon9,Falcon 9,FT,CRS-10,[42053],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5490.0,ISS,,,ksc_lc_39a,KSC LC 39A,True
41,37,EchoStar 23,[],2017,2017-03-16T06:00:00.000Z,falcon9,Falcon 9,FT,EchoStar 23,[42070],['EchoStar'],United States,Airbus Defence and Space,Satellite,12399.0,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
42,38,SES-10,['6C42550'],2017,2017-03-30T22:27:00.000Z,falcon9,Falcon 9,FT,SES-10,[42432],['SES'],Luxembourg,Airbus Defence and Space,Satellite,11700.0,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
43,39,NROL-76,[],2017,2017-05-01T11:15:00.000Z,falcon9,Falcon 9,FT,NROL-76,[],['NRO'],United States,Boeing,Satellite,,LEO,False,False,ksc_lc_39a,KSC LC 39A,True
44,40,Inmarsat-5 F4,[],2017,2017-05-15T23:21:00.000Z,falcon9,Falcon 9,FT,Inmarsat-5 F4,[42698],['Inmarsat'],United Kingdom,Boeing,Satellite,13380.0,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
45,41,CRS-11,['EE86F74'],2017,2017-06-03T21:07:00.000Z,falcon9,Falcon 9,FT,CRS-11,[42744],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5970.0,ISS,,,ksc_lc_39a,KSC LC 39A,True
46,42,BulgariaSat-1,[],2017,2017-06-23T19:10:00.000Z,falcon9,Falcon 9,FT,BulgariaSat-1,[42801],['Bulgaria Sat'],Bulgaria,SSL,Satellite,8089.0,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
47,43,Iridium NEXT Mission 2,['F3364BF'],2017,2017-06-25T20:25:00.000Z,falcon9,Falcon 9,FT,Iridium NEXT 2,"[42803, 42804, 42805, 42806, 42807, 42808, 42809, 42805, 42810, 42811]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21164.0,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
48,44,Intelsat 35e,[],2017,2017-07-05T23:35:00.000Z,falcon9,Falcon 9,FT,Intelsat 35e,[42818],['Intelsat'],United States,Boeing,Satellite,14905.45,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
49,45,CRS-12,['EE86F74'],2017,2017-08-14T16:31:00.000Z,falcon9,Falcon 9,FT,CRS-12,[42904],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,6415.5,ISS,,,ksc_lc_39a,KSC LC 39A,True
50,46,FormoSat-5,[],2017,2017-08-24T18:50:00.000Z,falcon9,Falcon 9,FT,FormoSat-5,[42920],['NSPO (Taiwan)'],Taiwan,NSPO,Satellite,1047.0,SSO,False,False,vafb_slc_4e,VAFB SLC 4E,True
51,47,Boeing X-37B OTV-5,[],2017,2017-09-07T13:50:00.000Z,falcon9,Falcon 9,FT,X-37B OTV-5,[],['USAF'],United States,Boeing Defense,Satellite,11001.0,LEO,False,False,ksc_lc_39a,KSC LC 39A,True
52,48,Iridium NEXT Mission 3,['F3364BF'],2017,2017-10-09T12:37:00.000Z,falcon9,Falcon 9,FT,Iridium NEXT 3,"[42955, 42956, 42957, 42958, 42959, 42960, 42961, 42962, 42963, 42964]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21164.4,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
53,49,SES-11 / Echostar 105,['6C42550'],2017,2017-10-11T22:53:00.000Z,falcon9,Falcon 9,FT,SES-11 / Echostar 105,[42967],"['SES', 'Echostar']",United States,Airbus Defence and Space,Satellite,11464.0,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
54,50,KoreaSat 5A,[],2017,2017-10-30T19:34:00.000Z,falcon9,Falcon 9,FT,KoreaSat 5A,[42984],['KT Corporation'],South Korea,Thales Alenia Space,Satellite,8157.104,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
55,51,CRS-13,['EE86F74'],2017,2017-12-15T15:36:00.000Z,falcon9,Falcon 9,FT,CRS-13,[43060],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,4861.2,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
56,52,Iridium NEXT Mission 4,['F3364BF'],2017,2017-12-23T01:27:23.000Z,falcon9,Falcon 9,FT,Iridium NEXT 4,"[43070, 43071, 43072, 43073, 43074, 43075, 43076, 43077, 43078, 43079]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21164.38,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
57,53,ZUMA,[],2018,2018-01-08T01:00:00.000Z,falcon9,Falcon 9,FT,ZUMA,[],['Northrop Grumman'],United States,Northrop Grumman,Satellite,,LEO,False,False,ccafs_slc_40,CCAFS SLC 40,True
58,54,SES-16 / GovSat-1,['6C42550'],2018,2018-01-31T21:25:00.000Z,falcon9,Falcon 9,FT,GovSat-1,[43178],['GovSat'],Luxembourg,Orbital ATK,Satellite,9325.6,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
59,55,Falcon Heavy Test Flight,[],2018,2018-02-06T20:45:00.000Z,falconheavy,Falcon Heavy,FT,Tesla Roadster,[43205],['SpaceX'],United States,Tesla,Satellite,2976.2,HCO,False,False,ksc_lc_39a,KSC LC 39A,True
60,56,Paz / Starlink Demo,[],2018,2018-02-22T14:17:00.000Z,falcon9,Falcon 9,FT,Paz,[43215],['HisdeSAT'],Spain,Airbus Defence and Space,Satellite,2976.2,SSO,False,False,vafb_slc_4e,VAFB SLC 4E,True
61,56,Paz / Starlink Demo,[],2018,2018-02-22T14:17:00.000Z,falcon9,Falcon 9,FT,Tintin A & B,"[43216, 43217]",['SpaceX'],United States,SpaceX,Satellite,1763.7,SSO,False,False,vafb_slc_4e,VAFB SLC 4E,True
62,57,Hispasat 30W-6,[],2018,2018-03-06T05:33:00.000Z,falcon9,Falcon 9,FT,Hispasat 30W-6,[43228],['Hispasat'],Spain,SSL,Satellite,13430.6,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
63,58,Iridium NEXT Mission 5,['F3364BF'],2018,2018-03-30T14:13:51.000Z,falcon9,Falcon 9,FT,Iridium NEXT 5,"[43249, 43250, 43251, 43252, 43253, 43254, 43255, 43256, 43257, 43258]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21164.38,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
64,59,CRS-14,['EE86F74'],2018,2018-04-02T20:30:41.000Z,falcon9,Falcon 9,FT,CRS-14,[43267],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,6084.7,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
65,60,TESS,[],2018,2018-04-18T22:51:00.000Z,falcon9,Falcon 9,FT,TESS,[43435],['NASA'],United States,Orbital ATK,Satellite,772.0,HEO,False,False,ccafs_slc_40,CCAFS SLC 40,True
66,61,Bangabandhu-1,[],2018,2018-05-11T20:14:00.000Z,falcon9,Falcon 9,FT,Bangabandhu-1,[43463],['Bangladesh Gov'],Bangladesh,Thales Alenia Space,Satellite,8270.0,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
67,62,Iridium NEXT Mission 6,['F3364BF'],2018,2018-05-22T19:47:58.000Z,falcon9,Falcon 9,FT,Iridium NEXT 6,"[43478, 43479, 43480, 43481, 43482]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,9479.9,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
68,62,Iridium NEXT Mission 6,['F3364BF'],2018,2018-05-22T19:47:58.000Z,falcon9,Falcon 9,FT,GRACE-FO 1-2,"[43476, 43477]","['NASA', 'DLR']",,,Satellite,2557.4,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
69,63,SES-12,['6C42550'],2018,2018-06-04T04:45:00.000Z,falcon9,Falcon 9,FT,SES-12,[43488],['SES'],Luxembourg,Airbus Defence and Space,Satellite,11869.4,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
70,64,CRS-15,['EE86F74'],2018,2018-06-29T09:42:00.000Z,falcon9,Falcon 9,FT,CRS-15,[43522],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5313.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
71,65,Telstar 19V,['F4F83DE'],2018,2018-07-22T05:50:00.000Z,falcon9,Falcon 9,FT,Telstar 19V,[43562],['Telesat'],Canada,SSL,Satellite,15600.0,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
72,66,Iridium NEXT Mission 7,['F3364BF'],2018,2018-07-25T11:39:26.000Z,falcon9,Falcon 9,FT,Iridium NEXT 7,"[43569, 43570, 43571, 43572, 43573, 43574, 43575, 43576, 43577, 43578]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21164.38,PO,False,False,vafb_slc_4e,VAFB SLC 4E,True
73,67,Merah Putih,[],2018,2018-08-07T05:18:00.000Z,falcon9,Falcon 9,FT,Telkom-4,[43587],['Telkom'],Indonesia,SSL,Satellite,12786.81,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
74,68,Telstar 18V,['F4F83DE'],2018,2018-09-10T04:45:00.000Z,falcon9,Falcon 9,FT,Telstar 18V,[43611],['Telesat'],Canada,SSL,Satellite,15564.64,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
75,69,SAOCOM 1A,[],2018,2018-10-08T02:22:00.000Z,falcon9,Falcon 9,FT,SAOCOM 1A,[43641],['CONAE'],Argentina,INVAP,Satellite,6172.94,SSO,False,False,vafb_slc_4e,VAFB SLC 4E,True
76,70,Es’hail 2,[],2018,2018-11-15T20:46:00.000Z,falcon9,Falcon 9,FT,Es’hail 2,[43700],['Es’hailSat'],Qatar,Mitsubishi Electric,Satellite,6613.868,GTO,False,False,ksc_lc_39a,KSC LC 39A,True
77,71,SSO-A,[],2018,2018-12-03T18:34:00.000Z,falcon9,Falcon 9,FT,SSO-A,"[43775, 43776, 43774, 43763, 43760, 43759]","['Spaceflight Industries, Inc']",United States,"Spaceflight Industries, Inc",Satellite,8818.49,SSO,False,False,vafb_slc_4e,VAFB SLC 4E,True
78,72,CRS-16,['EE86F74'],2018,2018-12-05T18:16:00.000Z,falcon9,Falcon 9,FT,CRS-16,[43827],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5672.494,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
79,73,GPS III SV01,[],2018,2018-12-23T13:51:00.000Z,falcon9,Falcon 9,FT,GPS III SV01,[43873],['USAF'],United States,Lockheed Martin,Satellite,9700.34,MEO,False,False,ccafs_slc_40,CCAFS SLC 40,True
80,74,Iridium NEXT Mission 8,['F3364BF'],2019,2019-01-11T15:31:00.000Z,falcon9,Falcon 9,FT,Iridium NEXT 8,"[43922, 43923, 43924, 43925, 43926, 43927, 43928, 43929, 43930, 43931]",['Iridium Communications'],United States,Thales Alenia Space,Satellite,21164.38,PO,False,,vafb_slc_4e,VAFB SLC 4E,True
81,75,Nusantara Satu (PSN-6) / S5 / Beresheet,[],2019,2019-02-22T01:45:00.000Z,falcon9,Falcon 9,FT,Nusantara Satu (PSN-6),[44048],['Pasifik Satelit Nusantara'],Indonesia,SSL,Satellite,11023.11,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
82,75,Nusantara Satu (PSN-6) / S5 / Beresheet,[],2019,2019-02-22T01:45:00.000Z,falcon9,Falcon 9,FT,S5,[],['Air Force Research Laboratory'],United States,Applied Defense Systems,Satellite,132.28,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
83,75,Nusantara Satu (PSN-6) / S5 / Beresheet,[],2019,2019-02-22T01:45:00.000Z,falcon9,Falcon 9,FT,Beresheet,[44049],['SpaceIL'],Israel,SSL,Lander,1289.7,GTO,False,False,ccafs_slc_40,CCAFS SLC 40,True
84,76,CCtCap Demo Mission 1,['EE86F74'],2019,2019-03-02T07:45:00.000Z,falcon9,Falcon 9,FT,CCtCap Demo Mission 1,[44063],['NASA (CCtCap)'],United States,SpaceX,Crew Dragon,27026.47,ISS,,,ksc_lc_39a,KSC LC 39A,True
85,77,ArabSat 6A,[],2019,2019-04-11T22:35:00.000Z,falconheavy,Falcon Heavy,FT,ArabSat 6A,[44186],['Arabsat'],Saudi Arabia,Lockheed Martin,Satellite,13227.74,GTO,False,True,ksc_lc_39a,KSC LC 39A,True
86,78,CRS-17,['EE86F74'],2019,2019-05-04T06:48:00.000Z,falcon9,Falcon 9,FT,CRS-17,[44222],['NASA (CRS)'],United States,SpaceX,Dragon 1.1,5472.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
87,79,Starlink v0.9,[],2019,2019-05-24T02:30:00.000Z,falcon9,Falcon 9,FT,Starlink v0.9,"[44235, 44236, 44237, 44238, 44239, 44240, 44241, 44242, 44243, 44244, 44245, 44246, 44247, 44248, 44249, 44250, 44251, 44252, 44253, 44254, 44255, 44256, 44257, 44258, 44259, 44260, 44261, 44262, 44263, 44264, 44265, 44266, 44267, 44268, 44269, 44270, 44271, 44272, 44273, 44274, 44275, 44276, 44277, 44278, 44279, 44280, 44281, 44282, 44283, 44284, 44285, 44286, 44287, 44288, 44289, 44290, 44291, 44292, 44293, 44294]",['SpaceX'],United States,SpaceX,Satellite,30027.0,VLEO,False,True,ccafs_slc_40,CCAFS SLC 40,True
88,80,RADARSAT Constellation,[],2019,2019-06-12T14:17:00.000Z,falcon9,Falcon 9,FT,RADARSAT Constellation,"[44322, 44323, 44324]",['CSA'],Canada,Maxar Technologies,Satellite,3141.59,SSO,False,,vafb_slc_4e,VAFB SLC 4E,True
89,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,DSX,[44344],['USAF'],United States,Sierra Nevada Corporation,Satellite,1322.77,MEO,False,True,ksc_lc_39a,KSC LC 39A,True
90,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,COSMIC-2,[],"['NOAA', 'NASA', 'Taiwan']",United States,National Space Organization,Satellite,3677.3,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
91,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,GPIM,[],['NASA'],United States,Ball Aerospace & Technologies Corp,Satellite,396.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
92,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,Oculus-ASR,[44356],['Michigan Tech'],United States,Michigan Tech,Satellite,154.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
93,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,OTB 1,[44341],['General Atomics'],United States,Surrey Satellite Technology-US LLC,Satellite,304.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
94,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,NPSAT 1,[44340],['Naval Postgrad School'],United States,Naval Postgrad School,Satellite,189.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
95,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,Prox-1,[44339],['Georgia Tech'],United States,Georgia Tech,Satellite,156.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
96,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,LightSail-B,[44339],['Planetary Society'],United States,Planetary Society,Satellite,11.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
97,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,ARMADILLO,[],['University of Texas'],United States,University of Texas,Satellite,8.8,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
98,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,FalconSat 7,[],['USAF Academy'],United States,USAF Academy,Satellite,11.0,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
99,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,E-TBEx A & B,[],['SRI International'],United States,SRI International,Satellite,8.8,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
100,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,PSat 2,[44357],['US Naval Academy'],United States,US Naval Academy,Satellite,4.4,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
101,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,BRICSat 2,[],['US Naval Academy'],United States,US Naval Academy,Satellite,2.2,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
102,81,STP-2,[],2019,2019-06-25T03:30:00.000Z,falconheavy,Falcon Heavy,FT,TEPCE 1 & 2,[],['Naval Research Lab'],United States,Naval Research Lab,Satellite,3.3,LEO,False,True,ksc_lc_39a,KSC LC 39A,True
